"2007";306;692;1103;1743;676;979;1002;1912;1156;3253;1361;1485
"2008";449;703;953;1799;849;537;950;1443;1070;3371;986;883
"2009";525;726;593;2050;1319;287;785;1471;1148;3258;1177;795
"2010";575;574;496;1955;1304;292;909;1869;2012;2684;1383;751
"2011";416;637;425;1105;1106;800;786;1666;2068;...;1457;895
"2012";831;618;432;1101;1036;231;951;2037;2489;...;1238;1530
"2013";507;706;439;1146;1160;195;923;969;2470;11769;1345;2097
"2014";458;553;537;1558;1036;397;681;1017;2615;8345;1101;709
